"9004-43863";"HOKOYO-E84-DMS-HB1-AGV";"E84";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"x";"";"";"x";"";"";"";""
"0017-12770";"ERDBEBENPLATTE";"";"T";"";"";"";"";"";"";"x";"x";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"x";"";"";"";""
"4000-20125";"FFU-FFM-C910X705-U16-EC2-2";"FFU";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"x";"";"";"";""
"7700-00010";"STROEMUNGSSENSOR";"FFU CMU ";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"";"x";"x";"";"x";"";"";"";"x";"";"";"";"";"";"";"x";"";"";"";""
"7400-05685";"IONIZER-5685-44";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"x";"";"x";"";"";"";"x";"";"";"";"";"";"";"x";"";"";"";""
"7400-05686";"IONIZER-NETZTEIL";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"x";"";"x";"";"";"";"x";"";"";"";"";"";"";"x";"";"";"";""
"4012-13193";"LICHT-SENDER-C2C-SA07510A1000";"E84";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"x";"";"x";"";"";"";"x";"";"";"x";"";"";"";""
"4012-13194";"LICHT-EMPFAENG-C2C-EA07510A100";"E84";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"x";"";"x";"";"";"";"x";"";"";"x";"";"";"";""
"2025-00180";"DEDOAMPEL";"CMU";"";"";"";"";"";"x";"";"x";"x";"";"";"";"";"x";"x";"x";"x";"x";"x";"";"";"x";"";"";"";"";"";"x";"x";"";"";"";""
"9004-35014";"LAMPCOVER-D52X65-IP54";"CMU";"";"";"";"";"";"x";"";"x";"x";"";"";"";"";"x";"x";"x";"x";"x";"x";"";"";"x";"";"";"";"";"";"x";"x";"";"";"";""
"9004-35010";"LAMPRED-24V-D50-360°-IP54";"CMU";"";"";"";"";"";"x";"";"x";"x";"";"";"";"";"x";"x";"x";"x";"x";"x";"";"";"x";"";"";"";"";"";"x";"x";"";"";"";""
"9004-35012";"LAMPYELLOW";"CMU";"";"";"";"";"";"x";"";"x";"x";"";"";"";"";"x";"x";"x";"x";"x";"x";"";"";"x";"";"";"";"";"";"x";"x";"";"";"";""
"9004-35011";"LAMPGREEN-24V-D50-360°-IP54";"CMU";"";"";"";"";"";"x";"";"x";"x";"";"";"";"";"x";"x";"x";"x";"x";"x";"";"";"x";"";"";"";"";"";"x";"x";"";"";"";""
"9004-35013";"LAMPBLUE";"CMU";"";"";"";"";"";"x";"";"x";"x";"";"";"";"";"x";"x";"x";"x";"x";"x";"";"";"x";"";"";"";"";"";"x";"x";"";"";"";""
"4100-00000";"LOADPORT";"LPM";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"x";"x";"x";"";"x";"x";"";"x";"x";"";"";"";"x";"";"";"";"";"";"";""
"2063-20353";"BEDIENPULT-MIKRO-AT2";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"";"";"";"";"";""
"9004-59934 ";"FIXLOAD ";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"";"";"";"";"";"";"";"";"x";"x";"";"";"";"x";"";"";"";"";"";"";""
"7200-00089";"MOXA-ADAPTER";"PC";"";"";"";"";"";"x";"";"x";"x";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"x";"";"";"";"";""
"7200-00039";"USB-ADAPTER-BU-A-BU-A";"";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"x";"x";"";"";"";""
"7500-36110";"LEITERPLATTE361V1";"HIV";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"x";"x";"x";"";"x";"x";"";"";"x";"";"";"";"x";"";"";"x";"";"";"";""
"7216-89064";"BUCHSENEINSATZ-CAT5E";"";"";"";"";"";"";"x";"";"x";"x";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"x";"x";"";"";"";""
"7211-64773";"ADAPTER-09-ST-ST";"";"";"";"";"";"x";"x";"x";"x";"x";"";"";"";"";"x";"x";"x";"x";"";"";"";"";"x";"";"";"";"";"";"x";"x";"";"";"";""
"2059-01801";"EEF-SANKYO";"Robot";"";"";"2059-01802";"";"";"";"";"x";"x";"";"";"";"";"x";"x";"";"";"";"";"";"x";"";"";"";"";"x";"";"";"";"";"";"";""
"2059-01802";"EEF-SANKYO";"Robot";"";"";"2059-01803";"";"";"";"";"x";"x";"";"";"";"";"x";"x";"";"";"";"";"";"x";"";"";"";"";"x";"";"";"";"";"";"";""
"2059-01803";"EEF-SANKYO";"Robot";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"x";"x";"";"";"";"";"";"x";"";"";"";"";"x";"";"";"";"";"";"";""
"0059-04260";"KULISSE-SHB";"Robot";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"x";"x";"";"";"";"";"";"x";"";"";"";"";"x";"";"";"";"";"";"";""
