EDPConsole (by Sven Ginka)
test á oder  test
orig>tables
AnsiToUTF8>tables
UTF8ToAnsi>tables
orig>*
AnsiToUTF8>*
UTF8ToAnsi>*
tabellen bersicht
LOG>connected
LOG>abas Version 2010r4n07
LOG>lang code:D
LOG>iso code:de
LOG>lang var:de
LOG>trim values:1
LOG>rec size:362
DATA>name,desc,num,type,typestr,databasenr,databasename,groupbits,groupnrs,groupnames,hastable,aliveflag
DATA>#Anlage:Abschreibungsmodell#Abschreibungsmodell (Anlage)#27:10#1#Selektions-Leiste#27#Anlage#1024#10#Abschreibungsmodell#1#9
DATA>#Anlage:Anlagen zusammenführen#Anlagen zusammenführen (Anlage)#27:11#1#Selektions-Leiste#27#Anlage#2048#11#Anlagen zusammenführen#1#9
DATA>#Mzuordnung:Mzuordnung#Mzuordnung (Mzuordnung)#28:0#1#Selektions-Leiste#28#Mzuordnung#1#0#Mzuordnung#0#9
DATA>#SN-Formular:SN-Formular#SN-Formular (SN-Formular)#29:0#1#Selektions-Leiste#29#SN-Formular#1#0#SN-Formular#1#9
DATA>#Seriennummer:Seriennummer#Seriennummer (Seriennummer)#30:0#1#Selektions-Leiste#30#Seriennummer#1#0#Seriennummer#1#9
DATA>#Lplatz:Lagerplatzkopf#Lagerplatzkopf (Lplatz)#38:1#1#Selektions-Leiste#38#Lplatz#2#1#Lagerplatzkopf#0#9
DATA>#Lager:Lager#Lager (Lager)#39:1#1#Selektions-Leiste#39#Lager#2#1#Lager#0#9
DATA>#Lager:Lagergruppe#Lagergruppe (Lager)#39:2#1#Selektions-Leiste#39#Lager#4#2#Lagergruppe#0#9
DATA>#Lager:Lagergruppeneigenschaft#Lagergruppeneigenschaft (Lager)#39:3#1#Selektions-Leiste#39#Lager#8#3#Lagergruppeneigenschaft#0#9
DATA>#Lager:Umlagerungseigenschaft#Umlagerungseigenschaft (Lager)#39:5#1#Selektions-Leiste#39#Lager#32#5#Umlagerungseigenschaft#0#9
DATA>#Lmenge:Lagermenge#Lagermenge (Lmenge)#40:0#1#Selektions-Leiste#40#Lmenge#1#0#Lagermenge#1#9
DATA>#Edi:EDI#EDI (Edi)#53:0#1#Selektions-Leiste#53#Edi#1#0#EDI#1#9
DATA>#Auswertung:Positionsnummer#Positionsnummer (Auswertung)#54:1#1#Selektions-Leiste#54#Auswertung#2#1#Positionsnummer#1#9
DATA>#Auswertung:Sonderposition#Sonderposition (Auswertung)#54:2#1#Selektions-Leiste#54#Auswertung#4#2#Sonderposition#1#9
DATA>#Auswertung:Bewegungsdaten#Bewegungsdaten (Auswertung)#54:3#1#Selektions-Leiste#54#Auswertung#8#3#Bewegungsdaten#0#9
DATA>#Auswertung:Umsatzsteuervoranmeldung#Umsatzsteuervoranmeldung (Auswertung)#54:4#1#Selektions-Leiste#54#Auswertung#16#4#Umsatzsteuervoranmeldung#1#9
DATA>#Auswertung:Umsatzsteuerzuordnung#Umsatzsteuerzuordnung (Auswertung)#54:7#1#Selektions-Leiste#54#Auswertung#128#7#Umsatzsteuerzuordnung#1#9
DATA>#Sped-Auftrag:Speditionsauftrag#Speditionsauftrag (Sped-Auftrag)#55:1#1#Selektions-Leiste#55#Sped-Auftrag#2#1#Speditionsauftrag#0#9
DATA>#Inventur:Inventur#Inventur (Inventur)#56:1#1#Selektions-Leiste#56#Inventur#2#1#Inventur#0#9
DATA>#Inventur:Zähllistenkopf#Zähllistenkopf (Inventur)#56:2#1#Selektions-Leiste#56#Inventur#4#2#Zähllistenkopf#0#9
DATA>#KBlatt:KBlatt#KBlatt (KBlatt)#57:1#1#Selektions-Leiste#57#KBlatt#2#1#KBlatt#1#9
DATA>#KBlatt:Kostensammler#Kostensammler (KBlatt)#57:2#1#Selektions-Leiste#57#KBlatt#4#2#Kostensammler#1#9
DATA>#KBlatt:Bewertungssammler#Bewertungssammler (KBlatt)#57:3#1#Selektions-Leiste#57#KBlatt#8#3#Bewertungssammler#1#9
DATA>#StSchlüssel:Steuerschlüssel#Steuerschlüssel (StSchlüssel)#58:1#1#Selektions-Leiste#58#StSchlüssel#2#1#Steuerschlüssel#1#9
DATA>#Chargen:Chargen#Chargen (Chargen)#59:0#1#Selektions-Leiste#59#Chargen#1#0#Chargen#1#9
DATA>#KOArt:Kostenart#Kostenart (KOArt)#60:1#1#Selektions-Leiste#60#KOArt#2#1#Kostenart#0#9
DATA>#KOArt:Rechenregel#Rechenregel (KOArt)#60:2#1#Selektions-Leiste#60#KOArt#4#2#Rechenregel#1#9
DATA>#KOArt:Verkehrszahlen#Verkehrszahlen (KOArt)#60:3#1#Selektions-Leiste#60#KOArt#8#3#Verkehrszahlen#0#9
DATA>#KOArt:Kostenarten-BAB-Feld#Kostenarten-BAB-Feld (KOArt)#60:4#1#Selektions-Leiste#60#KOArt#16#4#Kostenarten-BAB-Feld#0#9
DATA>#KOArt:KoRe-Konfiguration#KoRe-Konfiguration (KOArt)#60:5#1#Selektions-Leiste#60#KOArt#32#5#KoRe-Konfiguration#0#9
DATA>#KOArt:Einzelkostenbasis#Einzelkostenbasis (KOArt)#60:6#1#Selektions-Leiste#60#KOArt#64#6#Einzelkostenbasis#1#9
DATA>#KOArt:Rechenregelhülse#Rechenregelhülse (KOArt)#60:7#1#Selektions-Leiste#60#KOArt#128#7#Rechenregelhülse#1#9
DATA>#BGröße:Bezugsgröße#Bezugsgröße (BGröße)#61:1#1#Selektions-Leiste#61#BGröße#2#1#Bezugsgröße#0#9
DATA>#BGröße:Verkehrszahlen#Verkehrszahlen (BGröße)#61:3#1#Selektions-Leiste#61#BGröße#8#3#Verkehrszahlen#0#9
DATA>#KOEinheit:Kore-Einheit#Kore-Einheit (KOEinheit)#62:1#1#Selektions-Leiste#62#KOEinheit#2#1#Kore-Einheit#0#9
DATA>#Bab:BAB-Formular#BAB-Formular (Bab)#63:1#1#Selektions-Leiste#63#Bab#2#1#BAB-Formular#1#9
DATA>#Bab:Verkehrszahlen#Verkehrszahlen (Bab)#63:3#1#Selektions-Leiste#63#Bab#8#3#Verkehrszahlen#0#9
DATA>#DynWarteschlange:DynWarteschlange#DynWarteschlange (DynWarteschlange)#64:1#1#Selektions-Leiste#64#DynWarteschlange#2#1#DynWarteschlange#0#9
DATA>#DynWarteschlange:Bearbeitungsauftrag#Bearbeitungsauftrag (DynWarteschlange)#64:2#1#Selektions-Leiste#64#DynWarteschlange#4#2#Bearbeitungsauftrag#0#9
DATA>#Infosystem:Infosystem#Infosystem (Infosystem)#65:1#1#Selektions-Leiste#65#Infosystem#2#1#Infosystem#1#9
DATA>#ZVStamm:Mahnbedingung#Mahnbedingung (ZVStamm)#66:2#1#Selektions-Leiste#66#ZVStamm#4#2#Mahnbedingung#1#9
DATA>#ZVStamm:Zahlungsbedingungsschlüssel#Zahlungsbedingungsschlüssel (ZVStamm)#66:4#1#Selektions-Leiste#66#ZVStamm#16#4#Zahlungsbedingungsschlüssel#1#9
